city,title,price,location,area,building_area,bedrooms,bathrooms,garage
surabaya,Rumah Shm Murah Ready Unit Dekat Grand Pakuwon,Rp 298 Juta,"Tandes, Surabaya",: 24 m²,: 24 m²,2,2,1
surabaya,Rumah Lantai 300 Jutaan Lokasi Rungkut,Rp 450 Juta,"Rungkut, Surabaya",: 35 m²,: 36 m²,2,1,1
surabaya,Manalagi 5M dapat Rumah Bagus Siap Huni Di Somerset Citraland,"Rp 5,5 Miliar","Citraland, Surabaya",: 240 m²,: 390 m²,4,3,2
surabaya,Termurah Pakuwon City Palm Beach Dekat Grand Island San Antonio Aruba,"Rp 3,4 Miliar","Pakuwon City, Surabaya",: 170 m²,: 210 m²,3,3,1
surabaya,Rumah Northwest Lake Park Central Hill Citraland Surabaya Barat,"Rp 1,15 Miliar","Citraland, Surabaya",: 90 m²,: 85 m²,3,3,1
surabaya,Rumah Bukit Palma Northwest Lake Park Citraland Surabaya Barat,Rp 950 Juta,"Citraland, Surabaya",: 84 m²,: 114 m²,3,2,1
surabaya,Termurah 5 Mnt Merr Rumah Minimalis 2 Lantai Di Evergreen Sby,Rp 925 Juta,"Rungkut, Surabaya",: 90 m²,: 87 m²,4,3,2
surabaya,Termurah Furnish Siap Huni Di Puspa Raya Citraland Surabaya,"Rp 2,75 Miliar","Citraland, Surabaya",: 128 m²,: 200 m²,5,4,1
surabaya,Rumah Darmo Indah Timur 1.3 M Nego Surabaya Barat Strategis Murah,"Rp 1,3 Miliar","Darmo permai, Surabaya",: 108 m²,: 200 m²,4,2,
surabaya,Nirwana Regency Minimalis Galvalum harga Cengli,"Rp 1,95 Miliar","Rungkut, Surabaya",: 133 m²,: 133 m²,6,2,
surabaya,"Villa Taman Telaga Ii, Citraland Sby, Rumah 2 Lt Cluster Depan",Rp 4 Miliar,"Citraland, Surabaya",: 189 m²,: 190 m²,3,2,1
surabaya,Jual Rumah Citraland Telaga Utama Main Road Double Way,Rp 13 Miliar,"Citraland, Surabaya",: 480 m²,: 300 m²,4,4,2
surabaya,Rumah Siap Huni Modern Pakuwon City Surabaya Timur 2 Lantai,"Rp 1,8 Miliar","Pakuwon City, Surabaya",: 72 m²,: 79 m²,3,2,2
