city,title,price,location,area,building_area,bedrooms,bathrooms,garage
gowa,Diajual Rumah Cantik 3LT Semi Perabot Siap Huni Royal Spring IH,"Rp 1,35 Miliar","Somba Opu, Gowa",: 60 m²,: 150 m²,2,2,1
gowa,Dijual Rumah Minimalis Citra Garden Gowa Siap Huni 1LT Nego ER,Rp 475 Juta,"Somba Opu, Gowa",: 72 m²,: 60 m²,2,1,1
gowa,Dijual Ruko Sultan Hasanuddin Gowa 2LT Lokasi Strategis Nego MK,"Rp 1,3 Miliar","Somba Opu, Gowa",: 112 m²,: 120 m²,3,3,2
gowa,Rumah Modern Cluster Rafis Tamarunang Cukup Dp 5 Juta Free Biaya2,Rp 400 Juta,"Somba Opu, Gowa",: 72 m²,: 36 m²,2,1,1
gowa,"Dijual Rumah sekitar Romang Polong, Jalan Sultan Alauddin, Gowa",Rp 285 Juta,"Somba Opu, Gowa",: 84 m²,: 84 m²,2,1,
gowa,Japandi Style: Perpaduan Elegen Minimalis Jepang yang Hangat dan Tropis,Rp 299 Juta,"Pattalassang, Gowa",: 50 m²,: 30 m²,2,1,1
gowa,"Dijual Rumah sekitar Jalan Malino , Gowa",Rp 301 Juta,"Somba Opu, Gowa",: 116 m²,: 116 m²,1,,
gowa,"Dijual Rumah sekitar Jalan Malino , Gowa",Rp 301 Juta,"Somba Opu, Gowa",: 116 m²,: 116 m²,1,,
gowa,"Dijual Rumah Gowa sekitar Jalan Abd Muthalib Dg Narang, Jl Yusuf Bauty, Jl Manggarupi",Rp 456 Juta,"Somba Opu, Gowa",: 75 m²,: 75 m²,1,,
gowa,"Dijual Rumah sekitar Jalan Letjen Hertasning, Jl Tun Abdul Razak, Gowa","Rp 1,9 Miliar","Somba Opu, Gowa",: 128 m²,: 125 m²,4,4,
gowa,Dijual Murah Rumah Mewah Citraland Celebes Hertasning Makassar,"Rp 2,2 Miliar","Somba Opu, Gowa",: 140 m²,: 104 m²,4,3,2
gowa,Dijual Rumah Siaphuni Di Citra Garden Gowa Dekat Dari Mana Mana Bebas Banjir,Rp 510 Juta,"Somba Opu, Gowa",: 72 m²,: 36 m²,2,1,
gowa,Rumah Terbaru di Citra Garden Gowa Cluster Vittoria,Rp 799 Juta,"Somba Opu, Gowa",: 90 m²,: 51 m²,3,1,2
gowa,Dijual Rumah 2 Lantai di CitraLand Celebes Makassar - Blue Saphire,"Rp 2,2 Miliar","Somba Opu, Gowa",: 140 m²,: 104 m²,3,3,2
gowa,"Rumah 2 Lantai Lengkap Dengan Perabot , Lokasi Strategis Dan Nyaman","Rp 1,4 Miliar","Somba Opu, Gowa",: 72 m²,: 75 m²,3,3,1
gowa,Hunian Bebas Banjir di Citra Garden Gowa,Rp 974 Juta,"Somba Opu, Gowa",: 75 m²,: 78 m²,3,2,2
gowa,Rumah Murah di Citra Garden Gowa,Rp 649 Juta,"Somba Opu, Gowa",: 72 m²,: 39 m²,2,1,1
gowa,Hunian Terlaris di Citra Garden Gowa,"Rp 1,26 Miliar","Somba Opu, Gowa",: 105 m²,: 93 m²,5,4,2
gowa,Dijual Rumah Di Citraland Celebes,"Rp 2,2 Miliar","Tombolo Pao, Gowa",: 140 m²,: 134 m²,4,3,2
gowa,Rumah Baru Citraland Celebes Hertasning Makassar_gowa,"Rp 3,6 Miliar","Somba Opu, Gowa",: 180 m²,: 183 m²,4,4,1
gowa,"Rumah Nyaman Untuk Investasi, Modern Estate Hertasning Punya Solusinya","Rp 1,27 Miliar","Somba Opu, Gowa",: 96 m²,: 80 m²,4,3,2
gowa,"Rumah Murah di Daerah Parangloe, Gowa","Rp 79,5 Juta","Parangloe, Gowa",: 238 m²,: 40 m²,2,1,
gowa,"Rumah Murah di Daerah Bajeng Barat, Gowa","Rp 86,6 Juta","Bajeng Barat, Gowa",: 200 m²,: 200 m²,2,1,
